GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
-1170105035,Azul,1,ACTION_TAKEN,1,1,2,165,0.0209,RuleBased,0.0057,0,0.0045,0.02
-1170105035,Azul,1,ACTION_TAKEN,2,2,2,165,0.0179,MCTS-Advanced,0.0034,1,0.0047,2.8075
-1170105035,Azul,1,ACTION_TAKEN,3,3,2,165,0.0334,RuleBased,0.0049,0,0.0034,0.034
-1170105035,Azul,1,ACTION_TAKEN,4,4,2,165,0.0292,MCTS-Advanced,0.0039,1,0.0049,2.2691
-1170105035,Azul,1,ACTION_TAKEN,5,5,2,165,0.0385,RuleBased,0.0038,0,0.0064,0.0344
-1170105035,Azul,1,ACTION_TAKEN,6,6,2,165,0.0288,MCTS-Advanced,0.003,1,0.0034,1.2118
-1170105035,Azul,1,ACTION_TAKEN,7,7,2,165,0.0186,RuleBased,0.0015,0,0.0029,0.0147
-1170105035,Azul,1,ACTION_TAKEN,8,8,2,165,0.017,MCTS-Advanced,0.0011,1,0.0026,0.8909
-1170105035,Azul,1,ACTION_TAKEN,9,9,2,165,0.015,RuleBased,0.0012,0,0.0023,0.0183
-1170105035,Azul,2,ACTION_TAKEN,10,9,2,165,0.0144,MCTS-Advanced,8.0E-4,1,0.0037,0.9801
-1170105035,Azul,2,ACTION_TAKEN,11,10,2,165,0.0302,MCTS-Advanced,0.0022,1,0.0017,1.1394
-1170105035,Azul,2,ACTION_TAKEN,12,11,2,165,0.0155,RuleBased,0.0022,0,0.0018,0.0192
-1170105035,Azul,2,ACTION_TAKEN,13,12,2,165,0.0147,MCTS-Advanced,0.0021,1,0.0018,0.8281
-1170105035,Azul,2,ACTION_TAKEN,14,13,2,165,0.0141,RuleBased,0.0017,0,0.0017,0.0111
-1170105035,Azul,2,ACTION_TAKEN,15,14,2,165,0.0142,MCTS-Advanced,0.0014,1,0.0029,0.8286
-1170105035,Azul,2,ACTION_TAKEN,16,15,2,165,0.0169,RuleBased,0.0017,0,0.0026,0.0127
-1170105035,Azul,2,ACTION_TAKEN,17,16,2,165,0.0165,MCTS-Advanced,0.0012,1,0.0027,0.756
