GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
-1170105035,Azul,5,GAME_OVER,58,53,2,165,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,58,0.9482758620689655,55,46.0,RuleBased,3.0,26.0,49.0,MCTS-Advanced,RuleBased,9,18,MCTS-Advanced,0
234785527,Azul,5,GAME_OVER,53,48,2,166,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,53,0.9622641509433962,51,20.0,RuleBased,13.0,23.0,33.0,MCTS-Advanced,RuleBased,13,15,MCTS-Advanced,0
-1360544799,Azul,5,GAME_OVER,51,46,2,167,1,RuleBased,1,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,0.0,RuleBased,16.0,16.0,16.0,MCTS-Advanced,RuleBased,13,14,MCTS-Advanced,-1
205897768,Azul,6,GAME_OVER,53,48,2,168,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9433962264150944,50,24.0,RuleBased,16.0,28.0,40.0,MCTS-Advanced,RuleBased,12,17,MCTS-Advanced,0
1325939940,Azul,5,GAME_OVER,59,54,2,169,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,59,0.9491525423728814,56,38.0,RuleBased,16.0,35.0,54.0,MCTS-Advanced,RuleBased,11,19,MCTS-Advanced,0
-248792245,Azul,5,GAME_OVER,52,47,2,170,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9423076923076923,49,18.0,RuleBased,4.0,13.0,22.0,MCTS-Advanced,RuleBased,10,15,MCTS-Advanced,0
1190043011,Azul,5,GAME_OVER,55,50,2,171,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9636363636363636,53,39.0,RuleBased,13.0,32.5,52.0,MCTS-Advanced,RuleBased,12,17,MCTS-Advanced,0
-1255373459,Azul,5,GAME_OVER,54,49,2,172,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,54,0.9259259259259259,50,23.0,RuleBased,2.0,13.5,25.0,MCTS-Advanced,RuleBased,8,15,MCTS-Advanced,0
-1436456258,Azul,5,GAME_OVER,54,49,2,173,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,54,0.9444444444444444,51,41.0,RuleBased,29.0,49.5,70.0,MCTS-Advanced,RuleBased,15,17,MCTS-Advanced,0
392236186,Azul,5,GAME_OVER,51,46,2,174,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,51,0.9607843137254902,49,17.0,RuleBased,22.0,30.5,39.0,MCTS-Advanced,RuleBased,13,16,MCTS-Advanced,0
-415012931,Azul,5,GAME_OVER,55,50,2,175,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,1,1,MCTS-Advanced,55,0.9272727272727272,51,6.0,RuleBased,36.0,39.0,42.0,MCTS-Advanced,RuleBased,12,18,MCTS-Advanced,0
1938135004,Azul,5,GAME_OVER,52,47,2,176,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9230769230769231,48,32.0,RuleBased,36.0,52.0,68.0,MCTS-Advanced,RuleBased,15,18,MCTS-Advanced,0
1583910553,Azul,5,GAME_OVER,55,50,2,177,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9636363636363636,53,14.0,RuleBased,24.0,31.0,38.0,MCTS-Advanced,RuleBased,13,17,MCTS-Advanced,0
1639144584,Azul,6,GAME_OVER,52,47,2,178,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,1.0,52,33.0,RuleBased,21.0,37.5,54.0,MCTS-Advanced,RuleBased,13,17,MCTS-Advanced,0
1184328952,Azul,6,GAME_OVER,55,50,2,179,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9454545454545454,52,6.0,RuleBased,6.0,9.0,12.0,MCTS-Advanced,RuleBased,9,15,MCTS-Advanced,0
-1329611232,Azul,5,GAME_OVER,55,50,2,180,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9636363636363636,53,50.0,RuleBased,18.0,43.0,68.0,MCTS-Advanced,RuleBased,11,19,MCTS-Advanced,0
1991376913,Azul,5,GAME_OVER,53,48,2,181,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9433962264150944,50,32.0,RuleBased,18.0,34.0,50.0,MCTS-Advanced,RuleBased,13,17,MCTS-Advanced,0
-1021814956,Azul,5,GAME_OVER,52,47,2,182,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9423076923076923,49,51.0,RuleBased,19.0,44.5,70.0,MCTS-Advanced,RuleBased,12,18,MCTS-Advanced,0
-932429809,Azul,5,GAME_OVER,50,45,2,183,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,50,0.96,48,37.0,RuleBased,8.0,26.5,45.0,MCTS-Advanced,RuleBased,10,15,MCTS-Advanced,0
-7822877,Azul,5,GAME_OVER,51,46,2,184,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,42.0,RuleBased,18.0,39.0,60.0,MCTS-Advanced,RuleBased,11,19,MCTS-Advanced,0
-346484495,Azul,5,GAME_OVER,54,49,2,185,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,54,0.9444444444444444,51,31.0,RuleBased,21.0,36.5,52.0,MCTS-Advanced,RuleBased,13,18,MCTS-Advanced,0
652655727,Azul,5,GAME_OVER,54,49,2,186,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,54,0.9444444444444444,51,25.0,RuleBased,18.0,30.5,43.0,MCTS-Advanced,RuleBased,12,17,MCTS-Advanced,0
1874714453,Azul,5,GAME_OVER,53,48,2,187,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9245283018867925,49,49.0,RuleBased,2.0,26.5,51.0,MCTS-Advanced,RuleBased,8,18,MCTS-Advanced,0
1888925827,Azul,5,GAME_OVER,48,43,2,188,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,48,0.9375,45,18.0,RuleBased,14.0,23.0,32.0,MCTS-Advanced,RuleBased,14,16,MCTS-Advanced,0
-1074144810,Azul,5,GAME_OVER,53,48,2,189,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,53,0.9811320754716981,52,57.0,RuleBased,13.0,41.5,70.0,MCTS-Advanced,RuleBased,13,18,MCTS-Advanced,0
-297936814,Azul,5,GAME_OVER,54,49,2,190,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,54,0.9814814814814815,53,59.0,RuleBased,13.0,42.5,72.0,MCTS-Advanced,RuleBased,13,18,MCTS-Advanced,0
1660292060,Azul,5,GAME_OVER,57,52,2,191,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,57,0.9473684210526315,54,56.0,RuleBased,22.0,50.0,78.0,MCTS-Advanced,RuleBased,13,19,MCTS-Advanced,0
-866352379,Azul,5,GAME_OVER,52,47,2,192,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,52,0.9615384615384616,50,40.0,RuleBased,7.0,27.0,47.0,MCTS-Advanced,RuleBased,10,17,MCTS-Advanced,0
761834774,Azul,6,GAME_OVER,57,52,2,193,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,57,0.9649122807017544,55,29.0,RuleBased,6.0,20.5,35.0,MCTS-Advanced,RuleBased,11,16,MCTS-Advanced,0
646596492,Azul,5,GAME_OVER,55,50,2,194,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9272727272727272,51,37.0,RuleBased,2.0,20.5,39.0,MCTS-Advanced,RuleBased,9,17,MCTS-Advanced,0
-1742253836,Azul,5,GAME_OVER,53,48,2,195,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9245283018867925,49,17.0,RuleBased,29.0,37.5,46.0,MCTS-Advanced,RuleBased,14,18,MCTS-Advanced,0
1453021513,Azul,5,GAME_OVER,57,52,2,196,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,57,0.9473684210526315,54,34.0,RuleBased,9.0,26.0,43.0,MCTS-Advanced,RuleBased,9,18,MCTS-Advanced,0
900944861,Azul,5,GAME_OVER,53,48,2,197,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,53,0.9433962264150944,50,23.0,RuleBased,5.0,16.5,28.0,MCTS-Advanced,RuleBased,10,16,MCTS-Advanced,0
1076582170,Azul,5,GAME_OVER,55,50,2,198,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,55,0.9454545454545454,52,32.0,RuleBased,10.0,26.0,42.0,MCTS-Advanced,RuleBased,12,16,MCTS-Advanced,0
-747470862,Azul,5,GAME_OVER,52,47,2,199,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,52,0.9615384615384616,50,51.0,RuleBased,0.0,25.5,51.0,MCTS-Advanced,RuleBased,8,18,MCTS-Advanced,0
1568355455,Azul,5,GAME_OVER,58,53,2,200,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,1,MCTS-Advanced,58,0.9482758620689655,55,63.0,RuleBased,24.0,55.5,87.0,MCTS-Advanced,RuleBased,12,19,MCTS-Advanced,0
739670425,Azul,5,GAME_OVER,51,46,2,201,2,RuleBased,2,1,1,MCTS-Advanced,RuleBased,0,0,MCTS-Advanced,51,0.9411764705882353,48,38.0,RuleBased,8.0,27.0,46.0,MCTS-Advanced,RuleBased,10,17,MCTS-Advanced,0
