Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
Player 1 takes RED tiles from center to floor line,50.0,59.0,1.18,0.0,3.0,3.0,1.0485714285714287,1.02399776785471
Player 1 takes WHITE tiles from center to floor line,50.0,54.0,1.0799999999999998,0.0,3.0,3.0,0.8506122448979592,0.9222864223753698
Player 1 takes BLUE tiles from center to floor line,50.0,48.0,0.9600000000000002,0.0,3.0,3.0,0.7330612244897959,0.8561899465012398
Player 1 takes BLACK tiles from center to floor line,50.0,47.0,0.94,0.0,4.0,4.0,1.200408163265306,1.0956313993608007
Player 0 takes YELLOW tiles from center to floor line,50.0,44.0,0.8799999999999999,0.0,3.0,3.0,0.842448979591837,0.9178501945262293
Player 0 takes BLACK tiles from center to pattern line 3,50.0,43.0,0.86,0.0,2.0,2.0,0.49020408163265305,0.7001457574195912
Player 0 takes BLUE tiles from center to pattern line 3,50.0,40.0,0.7999999999999998,0.0,3.0,3.0,0.5714285714285715,0.7559289460184545
Player 0 takes WHITE tiles from center to floor line,50.0,34.0,0.6799999999999999,0.0,3.0,3.0,0.6710204081632655,0.8191583535332259
Player 0 takes RED tiles from center to pattern line 4,50.0,34.0,0.6799999999999999,0.0,4.0,4.0,0.8342857142857145,0.9133924207511877
Player 0 takes WHITE tiles from center to pattern line 4,50.0,33.0,0.66,0.0,3.0,3.0,0.800408163265306,0.8946553321057814
Player 0 takes BLACK tiles from center to pattern line 4,50.0,32.0,0.64,0.0,3.0,3.0,0.8065306122448977,0.8980704940286691
Player 1 takes YELLOW tiles from center to floor line,50.0,32.0,0.6399999999999998,0.0,5.0,5.0,0.8881632653061227,0.9424241429983226
Player 0 takes YELLOW tiles from center to pattern line 3,50.0,31.0,0.62,0.0,2.0,2.0,0.4036734693877552,0.6353530273696311
Player 0 takes YELLOW tiles from center to pattern line 2,50.0,31.0,0.6199999999999999,0.0,3.0,3.0,0.4036734693877551,0.6353530273696311
