Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@290cdbf,50.0,223.0,4.459999999999997,1.0,9.0,8.0,2.8657142857142865,1.6928420734712044
games.azul.actions.TakeTilesAction@291421e,50.0,154.0,3.0800000000000005,0.0,7.0,7.0,2.4016326530612244,1.5497201854080704
games.azul.actions.TakeTilesAction@21ae7ce7,50.0,46.0,0.9200000000000002,0.0,3.0,3.0,1.0955102040816327,1.04666623337224
games.azul.actions.TakeTilesAction@77fec3b1,50.0,46.0,0.9199999999999998,0.0,3.0,3.0,0.6465306122448979,0.8040712731125879
games.azul.actions.TakeTilesAction@149f503,50.0,43.0,0.8599999999999999,0.0,3.0,3.0,0.6942857142857144,0.8332380897952963
games.azul.actions.TakeTilesAction@290ce3b,50.0,41.0,0.8200000000000001,0.0,3.0,3.0,0.6812244897959184,0.8253632471802451
games.azul.actions.TakeTilesAction@327bfac9,50.0,37.0,0.7400000000000001,0.0,3.0,3.0,0.8493877551020406,0.9216223495022463
games.azul.actions.TakeTilesAction@327bfb45,50.0,36.0,0.7200000000000002,0.0,3.0,3.0,0.4506122448979593,0.6712765785411847
games.azul.actions.TakeTilesAction@21ae7d63,50.0,35.0,0.7000000000000001,0.0,3.0,3.0,0.6632653061224489,0.8144110179279557
games.azul.actions.TakeTilesAction@77fe4fed,50.0,35.0,0.7,0.0,3.0,3.0,0.7448979591836736,0.8630747123996124
games.azul.actions.TakeTilesAction@149813f,50.0,34.0,0.6799999999999998,0.0,3.0,3.0,0.9567346938775511,0.978128158207068
games.azul.actions.TakeTilesAction@77fe4fce,50.0,33.0,0.6599999999999999,0.0,3.0,3.0,0.6779591836734694,0.823382768627975
games.azul.actions.TakeTilesAction@14980a4,50.0,33.0,0.6599999999999998,0.0,2.0,2.0,0.5146938775510206,0.7174216873994127
games.azul.actions.TakeTilesAction@21ae7d82,50.0,32.0,0.64,0.0,3.0,3.0,0.806530612244898,0.8980704940286692
games.azul.actions.TakeTilesAction@1498101,50.0,32.0,0.64,0.0,2.0,2.0,0.27591836734693886,0.5252793231671496
games.azul.actions.TakeTilesAction@1498120,50.0,31.0,0.6199999999999999,0.0,2.0,2.0,0.48530612244897947,0.6966391622992347
games.azul.actions.TakeTilesAction@21ae7d44,50.0,30.0,0.5999999999999999,0.0,2.0,2.0,0.3673469387755101,0.6060915267313264
games.azul.actions.TakeTilesAction@77fe4faf,50.0,30.0,0.5999999999999999,0.0,2.0,2.0,0.32653061224489793,0.5714285714285714
games.azul.actions.TakeTilesAction@327bfb64,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.8608163265306121,0.9278018789216866
games.azul.actions.TakeTilesAction@327c6f28,50.0,28.0,0.56,0.0,3.0,3.0,0.5779591836734692,0.7602362683228611
games.azul.actions.TakeTilesAction@77fe4f52,50.0,27.0,0.54,0.0,3.0,3.0,0.5800000000000003,0.761577310586391
games.azul.actions.TakeTilesAction@291427b,50.0,27.0,0.54,0.0,2.0,2.0,0.45755102040816314,0.676425177242955
games.azul.actions.TakeTilesAction@290ce1c,50.0,27.0,0.5399999999999998,0.0,2.0,2.0,0.33510204081632655,0.5788799882672803
games.azul.actions.TakeTilesAction@327c6f66,50.0,26.0,0.52,0.0,2.0,2.0,0.4179591836734694,0.6464976285134149
games.azul.actions.TakeTilesAction@21aef146,50.0,25.0,0.5000000000000002,0.0,2.0,2.0,0.7040816326530616,0.839095723176481
games.azul.actions.TakeTilesAction@149f560,50.0,24.0,0.48000000000000004,0.0,2.0,2.0,0.37714285714285706,0.6141195788629907
games.azul.actions.TakeTilesAction@290ce5a,50.0,23.0,0.45999999999999996,0.0,3.0,3.0,0.8248979591836733,0.9082389328715618
games.azul.actions.TakeTilesAction@327c6f85,50.0,23.0,0.45999999999999996,0.0,3.0,3.0,0.4983673469387753,0.7059513771774762
games.azul.actions.TakeTilesAction@327bfb26,50.0,22.0,0.4400000000000001,0.0,2.0,2.0,0.37387755102040804,0.6114552731152199
games.azul.actions.TakeTilesAction@77fec42d,50.0,22.0,0.44,0.0,2.0,2.0,0.45551020408163273,0.6749149606295839
games.azul.actions.TakeTilesAction@327c6fa4,50.0,21.0,0.42000000000000015,0.0,3.0,3.0,0.49346938775510213,0.7024737630368142
games.azul.actions.TakeTilesAction@291423d,50.0,20.0,0.4,0.0,1.0,1.0,0.24489795918367344,0.49487165930539345
games.azul.actions.TakeTilesAction@149f541,50.0,20.0,0.39999999999999997,0.0,2.0,2.0,0.32653061224489793,0.5714285714285714
games.azul.actions.TakeTilesAction@21ae7d06,50.0,19.0,0.3800000000000001,0.0,1.0,1.0,0.24040816326530606,0.4903143514780146
games.azul.actions.TakeTilesAction@77fec3d0,50.0,19.0,0.3800000000000001,0.0,1.0,1.0,0.24040816326530612,0.49031435147801467
games.azul.actions.TakeTilesAction@291425c,50.0,19.0,0.38000000000000006,0.0,2.0,2.0,0.32204081632653064,0.5674864018868916
games.azul.actions.TakeTilesAction@21aef1a3,50.0,19.0,0.38000000000000006,0.0,2.0,2.0,0.2812244897959183,0.5303060340934452
games.azul.actions.TakeTilesAction@77fec40e,50.0,19.0,0.38000000000000006,0.0,2.0,2.0,0.44448979591836735,0.6667006794044591
games.azul.actions.TakeTilesAction@29142b9,50.0,19.0,0.38000000000000006,0.0,2.0,2.0,0.4444897959183673,0.6667006794044591
games.azul.actions.TakeTilesAction@21aef165,50.0,18.0,0.35999999999999993,0.0,1.0,1.0,0.2351020408163265,0.4848732213850611
games.azul.actions.TakeTilesAction@327c6f47,50.0,18.0,0.35999999999999993,0.0,1.0,1.0,0.23510204081632663,0.4848732213850613
games.azul.actions.TakeTilesAction@21aef184,50.0,18.0,0.3599999999999999,0.0,1.0,1.0,0.23510204081632655,0.48487322138506117
games.azul.actions.TakeTilesAction@21ae7d25,50.0,17.0,0.33999999999999997,0.0,2.0,2.0,0.2697959183673469,0.5194188275056526
