Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@2fcfd768,50.0,48.0,0.9599999999999999,0.0,3.0,3.0,0.8146938775510203,0.902603942796075
games.azul.actions.TakeTilesAction@327c6f28,50.0,47.0,0.9400000000000003,0.0,3.0,3.0,0.8738775510204083,0.9348141799418793
games.azul.actions.TakeTilesAction@661313fd,50.0,42.0,0.8400000000000001,0.0,2.0,2.0,0.6269387755102039,0.7917946548886295
games.azul.actions.TakeTilesAction@592e209e,50.0,36.0,0.7200000000000001,0.0,3.0,3.0,0.8179591836734696,0.9044109595053952
games.azul.actions.TakeTilesAction@25701691,50.0,32.0,0.64,0.0,3.0,3.0,0.602448979591837,0.7761758689832073
games.azul.actions.TakeTilesAction@2570170d,50.0,25.0,0.5,0.0,3.0,3.0,0.6224489795918368,0.7889543583705186
games.azul.actions.TakeTilesAction@2fcfd7c5,50.0,25.0,0.4999999999999999,0.0,2.0,2.0,0.4591836734693878,0.6776309271789385
games.azul.actions.TakeTilesAction@257016ee,50.0,24.0,0.4800000000000001,0.0,2.0,2.0,0.37714285714285717,0.6141195788629908
games.azul.actions.TakeTilesAction@6613141c,50.0,23.0,0.45999999999999996,0.0,1.0,1.0,0.2534693877551021,0.5034574339058885
games.azul.actions.TakeTilesAction@592e20fb,50.0,23.0,0.45999999999999974,0.0,2.0,2.0,0.41673469387755085,0.6455499158682858
games.azul.actions.TakeTilesAction@2570172c,50.0,21.0,0.4200000000000001,0.0,3.0,3.0,0.6159183673469387,0.7848046682754497
games.azul.actions.TakeTilesAction@327c6fa4,50.0,21.0,0.42000000000000004,0.0,2.0,2.0,0.4526530612244898,0.6727949622466638
games.azul.actions.TakeTilesAction@6613143b,50.0,21.0,0.42,0.0,1.0,1.0,0.24857142857142855,0.4985693819032899
games.azul.actions.TakeTilesAction@327c6f85,50.0,21.0,0.42,0.0,2.0,2.0,0.4526530612244898,0.6727949622466638
games.azul.actions.TakeTilesAction@327c6fc3,50.0,21.0,0.42,0.0,3.0,3.0,0.6975510204081634,0.835195198985341
games.azul.actions.TakeTilesAction@2fcfd7a6,50.0,21.0,0.42,0.0,2.0,2.0,0.2893877551020408,0.5379477252503637
games.azul.actions.TakeTilesAction@592e2139,50.0,20.0,0.4,0.0,3.0,3.0,0.5714285714285713,0.7559289460184544
games.azul.actions.TakeTilesAction@2fcfd803,50.0,20.0,0.3999999999999999,0.0,2.0,2.0,0.4081632653061225,0.6388765649999399
games.azul.actions.TakeTilesAction@592e211a,50.0,19.0,0.3799999999999999,0.0,2.0,2.0,0.48530612244897964,0.6966391622992348
games.azul.actions.TakeTilesAction@2fcfd787,50.0,19.0,0.3799999999999999,0.0,1.0,1.0,0.24040816326530612,0.49031435147801467
games.azul.actions.TakeTilesAction@6613145a,50.0,18.0,0.35999999999999993,0.0,2.0,2.0,0.31673469387755104,0.5627918743883489
games.azul.actions.TakeTilesAction@257016cf,50.0,17.0,0.33999999999999997,0.0,1.0,1.0,0.22897959183673472,0.4785181206984065
games.azul.actions.TakeTilesAction@592e20dc,50.0,17.0,0.33999999999999997,0.0,1.0,1.0,0.22897959183673466,0.47851812069840644
games.azul.actions.TakeTilesAction@327c6f66,50.0,16.0,0.3199999999999999,0.0,2.0,2.0,0.26285714285714284,0.5126959555693246
games.azul.actions.TakeTilesAction@2fcfd7e4,50.0,12.0,0.2400000000000001,0.0,2.0,2.0,0.3902040816326531,0.6246631745450127
games.azul.actions.TakeTilesAction@66131479,50.0,12.0,0.24000000000000005,0.0,2.0,2.0,0.3085714285714285,0.5554920598635308
games.azul.actions.TakeTilesAction@592e20bd,50.0,12.0,0.24000000000000002,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
games.azul.actions.TakeTilesAction@257016b0,50.0,12.0,0.23999999999999996,0.0,1.0,1.0,0.18612244897959182,0.43141911058689997
games.azul.actions.TakeTilesAction@592e24bc,50.0,12.0,0.23999999999999996,0.0,1.0,1.0,0.18612244897959193,0.4314191105869001
games.azul.actions.TakeTilesAction@66131498,50.0,11.0,0.2200000000000001,0.0,3.0,3.0,0.29755102040816317,0.5454823740581937
games.azul.actions.TakeTilesAction@257021f3,50.0,11.0,0.22000000000000006,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
games.azul.actions.TakeTilesAction@327c6f47,50.0,10.0,0.20000000000000004,0.0,1.0,1.0,0.16326530612244897,0.40406101782088427
