GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
-1170105035,Azul,1,ACTION_TAKEN,1,1,2,112,0.0146,RuleBased,0.0054,0,0.0067,0.0221
-1170105035,Azul,1,ACTION_TAKEN,2,2,2,112,0.0159,MCTS-Simple,0.0047,1,0.011,17.1406
-1170105035,Azul,1,ACTION_TAKEN,3,3,2,112,0.0567,RuleBased,0.0088,0,0.0092,0.0438
-1170105035,Azul,1,ACTION_TAKEN,4,4,2,112,0.046,MCTS-Simple,0.0083,1,0.0046,4.4561
-1170105035,Azul,1,ACTION_TAKEN,5,5,2,112,0.019,RuleBased,0.0032,0,0.0033,0.0187
-1170105035,Azul,1,ACTION_TAKEN,6,6,2,112,0.0157,MCTS-Simple,0.0023,1,0.0034,2.5538
-1170105035,Azul,1,ACTION_TAKEN,7,7,2,112,0.0189,RuleBased,0.003,0,0.0035,0.0176
-1170105035,Azul,1,ACTION_TAKEN,8,8,2,112,0.0168,MCTS-Simple,0.0022,1,0.0044,1.7939
-1170105035,Azul,1,ACTION_TAKEN,9,9,2,112,0.0168,RuleBased,0.0016,0,0.0037,0.0108
-1170105035,Azul,1,ACTION_TAKEN,10,10,2,112,0.0147,MCTS-Simple,0.0015,1,0.0033,1.2104
-1170105035,Azul,1,ACTION_TAKEN,11,11,2,112,0.0155,RuleBased,0.001,0,0.0031,0.0074
-1170105035,Azul,2,ACTION_TAKEN,12,11,2,112,0.0139,MCTS-Simple,9.0E-4,1,0.0104,2.2286
-1170105035,Azul,2,ACTION_TAKEN,13,12,2,112,0.0574,MCTS-Simple,0.0058,1,0.0091,6.05
-1170105035,Azul,2,ACTION_TAKEN,14,13,2,112,0.0343,RuleBased,0.0037,0,0.0035,0.0221
-1170105035,Azul,2,ACTION_TAKEN,15,14,2,112,0.0175,MCTS-Simple,0.0028,1,0.0065,3.26
-1170105035,Azul,2,ACTION_TAKEN,16,15,2,112,0.0602,RuleBased,0.018,0,0.0119,0.0306
-1170105035,Azul,2,ACTION_TAKEN,17,16,2,112,0.0217,MCTS-Simple,0.0117,1,0.0063,2.3275
