Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@661313fd,50.0,53.0,1.06,0.0,3.0,3.0,0.7514285714285718,0.866849797501604
games.azul.actions.TakeTilesAction@2fcfd768,50.0,52.0,1.04,0.0,4.0,4.0,1.0187755102040814,1.0093440990088967
games.azul.actions.TakeTilesAction@256fa232,50.0,48.0,0.9599999999999999,0.0,5.0,5.0,1.1412244897959185,1.0682810911908525
games.azul.actions.TakeTilesAction@592e209e,50.0,45.0,0.9000000000000006,0.0,3.0,3.0,0.7040816326530617,0.8390957231764811
games.azul.actions.TakeTilesAction@327c6f28,50.0,45.0,0.9,0.0,3.0,3.0,0.8673469387755104,0.9313146293146642
games.azul.actions.TakeTilesAction@327bfb45,50.0,39.0,0.7800000000000001,0.0,3.0,3.0,0.6648979591836734,0.8154127538760192
games.azul.actions.TakeTilesAction@256fa2ae,50.0,38.0,0.7599999999999998,0.0,3.0,3.0,0.6351020408163267,0.7969328960560774
games.azul.actions.TakeTilesAction@592dac3f,50.0,36.0,0.72,0.0,3.0,3.0,0.736326530612245,0.8580947095817832
games.azul.actions.TakeTilesAction@25701691,50.0,35.0,0.7000000000000001,0.0,4.0,4.0,0.7040816326530613,0.8390957231764808
games.azul.actions.TakeTilesAction@592dacbb,50.0,35.0,0.6999999999999997,0.0,2.0,2.0,0.45918367346938777,0.6776309271789385
games.azul.actions.TakeTilesAction@256fa2cd,50.0,33.0,0.6599999999999997,0.0,3.0,3.0,0.759591836734694,0.8715456595811226
games.azul.actions.TakeTilesAction@6612a039,50.0,32.0,0.64,0.0,3.0,3.0,0.6840816326530609,0.8270922757788642
games.azul.actions.TakeTilesAction@2fcf6385,50.0,32.0,0.6399999999999999,0.0,2.0,2.0,0.3575510204081633,0.59795570104161
games.azul.actions.TakeTilesAction@592dacda,50.0,31.0,0.62,0.0,3.0,3.0,0.7302040816326529,0.854519795927896
games.azul.actions.TakeTilesAction@327bfac9,50.0,31.0,0.6199999999999999,0.0,3.0,3.0,0.7302040816326529,0.854519795927896
games.azul.actions.TakeTilesAction@6612a01a,50.0,30.0,0.6000000000000001,0.0,2.0,2.0,0.4081632653061225,0.6388765649999399
games.azul.actions.TakeTilesAction@2fcf63a4,50.0,30.0,0.6,0.0,3.0,3.0,0.6938775510204082,0.8329931278350429
