Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@290cdbf,50.0,201.0,4.020000000000001,1.0,8.0,7.0,2.5506122448979593,1.5970636320754283
games.azul.actions.TakeTilesAction@21ae7ce7,50.0,49.0,0.98,0.0,4.0,4.0,0.9587755102040817,0.9791708278967882
games.azul.actions.TakeTilesAction@327bfb45,50.0,40.0,0.8,0.0,2.0,2.0,0.5714285714285714,0.7559289460184544
games.azul.actions.TakeTilesAction@327bfac9,50.0,38.0,0.7600000000000001,0.0,3.0,3.0,0.7167346938775511,0.8466018508588031
games.azul.actions.TakeTilesAction@290ce5a,50.0,37.0,0.7400000000000001,0.0,3.0,3.0,0.8085714285714289,0.8992059989632125
games.azul.actions.TakeTilesAction@327bfb64,50.0,36.0,0.72,0.0,3.0,3.0,1.0220408163265307,1.010960343597379
games.azul.actions.TakeTilesAction@290ce3b,50.0,36.0,0.7199999999999999,0.0,2.0,2.0,0.573061224489796,0.7570080742566726
games.azul.actions.TakeTilesAction@77fe4fed,50.0,35.0,0.7000000000000002,0.0,3.0,3.0,0.7448979591836739,0.8630747123996125
games.azul.actions.TakeTilesAction@77fe4fce,50.0,35.0,0.6999999999999998,0.0,2.0,2.0,0.4591836734693878,0.6776309271789385
games.azul.actions.TakeTilesAction@21ae7d63,50.0,34.0,0.68,0.0,3.0,3.0,0.5077551020408162,0.7125693664765671
games.azul.actions.TakeTilesAction@77fe4faf,50.0,33.0,0.6599999999999998,0.0,2.0,2.0,0.3106122448979592,0.5573259772323188
games.azul.actions.TakeTilesAction@21ae7d82,50.0,32.0,0.6399999999999997,0.0,3.0,3.0,1.0514285714285716,1.0253919111386494
games.azul.actions.TakeTilesAction@290ce1c,50.0,31.0,0.6199999999999999,0.0,2.0,2.0,0.3220408163265306,0.5674864018868916
games.azul.actions.TakeTilesAction@149813f,50.0,31.0,0.6199999999999998,0.0,3.0,3.0,0.6485714285714287,0.8053393251117374
games.azul.actions.TakeTilesAction@1498101,50.0,30.0,0.6,0.0,2.0,2.0,0.40816326530612246,0.6388765649999399
games.azul.actions.TakeTilesAction@1498120,50.0,28.0,0.56,0.0,2.0,2.0,0.45551020408163273,0.6749149606295839
games.azul.actions.TakeTilesAction@14980a4,50.0,27.0,0.54,0.0,2.0,2.0,0.45755102040816314,0.676425177242955
games.azul.actions.TakeTilesAction@77fe4f52,50.0,27.0,0.5399999999999999,0.0,4.0,4.0,0.6616326530612242,0.813408048313529
games.azul.actions.TakeTilesAction@21ae7d44,50.0,25.0,0.4999999999999998,0.0,2.0,2.0,0.37755102040816313,0.6144518047887589
games.azul.actions.TakeTilesAction@327bfb26,50.0,20.0,0.4,0.0,2.0,2.0,0.28571428571428575,0.5345224838248488
games.azul.actions.TakeTilesAction@327bfb07,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653055,0.47121207149916117
games.azul.actions.TakeTilesAction@77fe4f90,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653055,0.47121207149916117
games.azul.actions.TakeTilesAction@77fe4f71,50.0,15.0,0.3,0.0,1.0,1.0,0.21428571428571427,0.4629100498862757
games.azul.actions.TakeTilesAction@290cdfd,50.0,14.0,0.2800000000000001,0.0,2.0,2.0,0.24653061224489806,0.49651849134236486
games.azul.actions.TakeTilesAction@21ae7d25,50.0,13.0,0.26,0.0,1.0,1.0,0.1963265306122449,0.44308749769345207
games.azul.actions.TakeTilesAction@290cdde,50.0,13.0,0.25999999999999995,0.0,1.0,1.0,0.19632653061224492,0.4430874976934521
games.azul.actions.TakeTilesAction@290d940,50.0,13.0,0.2599999999999999,0.0,1.0,1.0,0.1963265306122449,0.44308749769345207
games.azul.actions.TakeTilesAction@21ae8488,50.0,12.0,0.2400000000000001,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
games.azul.actions.TakeTilesAction@14980c3,50.0,11.0,0.22000000000000008,0.0,1.0,1.0,0.17510204081632658,0.41845195759648035
games.azul.actions.TakeTilesAction@327c0dad,50.0,11.0,0.22000000000000006,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
games.azul.actions.TakeTilesAction@1498c25,50.0,11.0,0.22000000000000003,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
games.azul.actions.TakeTilesAction@327c0289,50.0,10.0,0.20000000000000007,0.0,1.0,1.0,0.16326530612244897,0.40406101782088427
