GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size),Actions(Player-1),Actions(RuleBased),Actions(Actions Played Description),Actions(Player-0),Actions(Size-OSLA),Actions(Size-RuleBased),Actions(OSLA),Actions(Action Space Size),Actions(Actions Played),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1)
-1170105035,Azul,0,ACTION_CHOSEN,0,0,2,59,117,,games.azul.actions.TakeTilesAction@21ae80e6,Player 0 takes RED tiles from factory 0 to pattern line 1,games.azul.actions.TakeTilesAction@21ae80e6,,108,,108,games.azul.actions.TakeTilesAction@21ae80e6,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,1,0,2,59,115,games.azul.actions.TakeTilesAction@327c7ec7,,Player 1 takes BLACK tiles from factory 3 to pattern line 4,,102,,games.azul.actions.TakeTilesAction@327c7ec7,102,games.azul.actions.TakeTilesAction@327c7ec7,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,2,0,2,59,114,,games.azul.actions.TakeTilesAction@327c026a,Player 0 takes BLACK tiles from factory 1 to pattern line 0,games.azul.actions.TakeTilesAction@327c026a,,75,,75,games.azul.actions.TakeTilesAction@327c026a,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,3,0,2,59,113,games.azul.actions.TakeTilesAction@14a00c2,,Player 1 takes YELLOW tiles from factory 2 to pattern line 3,,68,,games.azul.actions.TakeTilesAction@14a00c2,68,games.azul.actions.TakeTilesAction@14a00c2,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,4,0,2,59,112,,games.azul.actions.TakeTilesAction@1498101,Player 0 takes YELLOW tiles from centre pool to pattern line 2,games.azul.actions.TakeTilesAction@1498101,,36,,36,games.azul.actions.TakeTilesAction@1498101,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,5,0,2,59,108,games.azul.actions.TakeTilesAction@21aef184,,Player 1 takes RED tiles from centre pool to pattern line 1,,35,,games.azul.actions.TakeTilesAction@21aef184,35,games.azul.actions.TakeTilesAction@21aef184,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,6,0,2,59,107,,games.azul.actions.TakeTilesAction@290ce3b,Player 0 takes BLUE tiles from centre pool to pattern line 3,games.azul.actions.TakeTilesAction@290ce3b,,21,,21,games.azul.actions.TakeTilesAction@290ce3b,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,7,0,2,59,104,games.azul.actions.TakeTilesAction@2915540,,Player 1 takes BLUE tiles from factory 4 to pattern line 2,,22,,games.azul.actions.TakeTilesAction@2915540,22,games.azul.actions.TakeTilesAction@2915540,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,8,0,2,59,103,,games.azul.actions.TakeTilesAction@327bfb64,Player 0 takes BLACK tiles from centre pool to pattern line 4,games.azul.actions.TakeTilesAction@327bfb64,,8,,8,games.azul.actions.TakeTilesAction@327bfb64,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
-1170105035,Azul,0,ACTION_CHOSEN,9,0,2,59,100,games.azul.actions.TakeTilesAction@149f57f,,Player 1 takes YELLOW tiles from centre pool to pattern line 3,,8,,games.azul.actions.TakeTilesAction@149f57f,8,games.azul.actions.TakeTilesAction@149f57f,0.0,RuleBased,0.0,0.0,0.0,OSLA,RuleBased,0,0,OSLA
