GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
-1170105035,Azul,1,ACTION_TAKEN,1,1,2,59,0.0338,RuleBased,0.0302,0,0.0258,0.0616
-1170105035,Azul,1,ACTION_TAKEN,2,2,2,59,0.026,OSLA,0.0047,1,0.0152,5.9337
-1170105035,Azul,1,ACTION_TAKEN,3,3,2,59,0.051,RuleBased,0.0063,0,0.0215,0.0701
-1170105035,Azul,1,ACTION_TAKEN,4,4,2,59,0.0681,OSLA,0.0055,1,0.0127,3.4996
-1170105035,Azul,1,ACTION_TAKEN,5,5,2,59,0.0383,RuleBased,0.0052,0,0.014,0.0336
-1170105035,Azul,1,ACTION_TAKEN,6,6,2,59,0.0383,OSLA,0.0037,1,0.0154,1.2351
-1170105035,Azul,1,ACTION_TAKEN,7,7,2,59,0.0364,RuleBased,0.0043,0,0.0254,0.0238
-1170105035,Azul,1,ACTION_TAKEN,8,8,2,59,0.0265,OSLA,0.0024,1,0.0079,0.3174
-1170105035,Azul,1,ACTION_TAKEN,9,9,2,59,0.0215,RuleBased,0.0027,0,0.0069,0.0128
-1170105035,Azul,2,ACTION_TAKEN,10,9,2,59,0.0204,OSLA,0.0013,1,0.0085,0.1452
-1170105035,Azul,2,ACTION_TAKEN,11,10,2,59,0.0215,OSLA,0.0045,1,0.0147,4.1238
-1170105035,Azul,2,ACTION_TAKEN,12,11,2,59,0.0424,RuleBased,0.0065,0,0.0113,0.0338
-1170105035,Azul,2,ACTION_TAKEN,13,12,2,59,0.0512,OSLA,0.0058,1,0.0159,2.7286
-1170105035,Azul,2,ACTION_TAKEN,14,13,2,59,0.0863,RuleBased,0.0076,0,0.0274,0.0404
-1170105035,Azul,2,ACTION_TAKEN,15,14,2,59,0.0631,OSLA,0.0067,1,0.0153,2.783
-1170105035,Azul,2,ACTION_TAKEN,16,15,2,59,0.0367,RuleBased,0.0055,0,0.0079,0.0252
-1170105035,Azul,2,ACTION_TAKEN,17,16,2,59,0.0224,OSLA,0.0024,1,0.0063,0.2837
-1170105035,Azul,2,ACTION_TAKEN,18,17,2,59,0.0307,RuleBased,0.0041,0,0.0108,0.011
-1170105035,Azul,2,ACTION_TAKEN,19,18,2,59,0.0264,OSLA,0.004,1,0.0075,0.2818
-1170105035,Azul,2,ACTION_TAKEN,20,19,2,59,0.0199,RuleBased,0.0017,0,0.0063,0.0089
-1170105035,Azul,3,ACTION_TAKEN,21,19,2,59,0.0193,OSLA,0.0035,1,0.0087,0.0587
-1170105035,Azul,3,ACTION_TAKEN,22,20,2,59,0.02,OSLA,0.004,1,0.0064,2.2877
-1170105035,Azul,3,ACTION_TAKEN,23,21,2,59,0.0238,RuleBased,0.0055,0,0.006,0.0213
-1170105035,Azul,3,ACTION_TAKEN,24,22,2,59,0.0205,OSLA,0.0038,1,0.0067,1.4854
-1170105035,Azul,3,ACTION_TAKEN,25,23,2,59,0.0236,RuleBased,0.0039,0,0.0076,0.0215
-1170105035,Azul,3,ACTION_TAKEN,26,24,2,59,0.0236,OSLA,0.0033,1,0.0149,2.0007
-1170105035,Azul,3,ACTION_TAKEN,27,25,2,59,0.0519,RuleBased,0.0061,0,0.0156,0.0288
-1170105035,Azul,3,ACTION_TAKEN,28,26,2,59,0.0465,OSLA,0.0045,1,0.008,1.1751
-1170105035,Azul,3,ACTION_TAKEN,29,27,2,59,0.0225,RuleBased,0.0026,0,0.0074,0.0132
-1170105035,Azul,3,ACTION_TAKEN,30,28,2,59,0.0193,OSLA,0.0017,1,0.0059,0.1623
-1170105035,Azul,4,ACTION_TAKEN,31,28,2,59,0.0186,RuleBased,0.0014,0,0.0154,0.1623
-1170105035,Azul,4,ACTION_TAKEN,32,29,2,59,0.0237,RuleBased,0.0039,0,0.0064,0.0133
-1170105035,Azul,4,ACTION_TAKEN,33,30,2,59,0.0204,OSLA,0.0038,1,0.0151,1.4299
-1170105035,Azul,4,ACTION_TAKEN,34,31,2,59,0.024,RuleBased,0.0042,0,0.0144,0.0363
-1170105035,Azul,4,ACTION_TAKEN,35,32,2,59,0.0355,OSLA,0.0047,1,0.0124,2.862
-1170105035,Azul,4,ACTION_TAKEN,36,33,2,59,0.0332,RuleBased,0.0043,0,0.0138,0.0211
-1170105035,Azul,4,ACTION_TAKEN,37,34,2,59,0.0323,OSLA,0.0041,1,0.009,0.6962
-1170105035,Azul,4,ACTION_TAKEN,38,35,2,59,0.0316,RuleBased,0.0038,0,0.0131,0.0135
-1170105035,Azul,4,ACTION_TAKEN,39,36,2,59,0.036,OSLA,0.0032,1,0.0122,0.3539
-1170105035,Azul,4,ACTION_TAKEN,40,37,2,59,0.0269,RuleBased,0.0035,0,0.0074,0.0218
-1170105035,Azul,4,ACTION_TAKEN,41,38,2,59,0.0209,OSLA,0.0017,1,0.0059,0.0825
-1170105035,Azul,5,ACTION_TAKEN,42,38,2,59,0.0199,RuleBased,0.0013,0,0.025,0.0825
-1170105035,Azul,5,ACTION_TAKEN,43,39,2,59,0.026,RuleBased,0.0051,0,0.0217,0.0232
-1170105035,Azul,5,ACTION_TAKEN,44,40,2,59,0.041,OSLA,0.0039,1,0.0108,0.987
-1170105035,Azul,5,ACTION_TAKEN,45,41,2,59,0.0317,RuleBased,0.0043,0,0.0094,0.019
-1170105035,Azul,5,ACTION_TAKEN,46,42,2,59,0.0261,OSLA,0.0033,1,0.0095,0.9435
-1170105035,Azul,5,ACTION_TAKEN,47,43,2,59,0.0307,RuleBased,0.0035,0,0.0102,0.0188
-1170105035,Azul,5,ACTION_TAKEN,48,44,2,59,0.0235,OSLA,0.0027,1,0.0081,0.4641
-1170105035,Azul,5,ACTION_TAKEN,49,45,2,59,0.0239,RuleBased,0.0026,0,0.0125,0.0133
-1170105035,Azul,5,ACTION_TAKEN,50,46,2,59,0.0246,OSLA,0.0023,1,0.0067,0.2567
-1170105035,Azul,5,ACTION_TAKEN,51,47,2,59,0.0228,RuleBased,0.0023,0,0.0084,0.0103
-1170105035,Azul,5,ACTION_TAKEN,52,48,2,59,0.0227,OSLA,0.0027,1,0.0115,0.161
-1170105035,Azul,5,ACTION_TAKEN,53,49,2,59,0.024,RuleBased,0.0019,0,0.0076,0.0088
-1170105035,Azul,5,ACTION_TAKEN,54,49,2,59,0.0221,OSLA,0.0017,1,0.0185,0.0088
234785527,Azul,1,ACTION_TAKEN,1,1,2,60,0.0305,RuleBased,0.0053,0,0.0106,0.0247
234785527,Azul,1,ACTION_TAKEN,2,2,2,60,0.0248,OSLA,0.004,1,0.0109,2.589
