GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
-1170105035,Azul,5,GAME_OVER,54,49,2,59,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,54,0.9444444444444444,51,56.0,RuleBased,16.0,44.0,72.0,OSLA,RuleBased,12,20,OSLA,0
234785527,Azul,5,GAME_OVER,52,47,2,60,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9230769230769231,48,28.0,RuleBased,15.0,29.0,43.0,OSLA,RuleBased,11,19,OSLA,0
-1360544799,Azul,6,GAME_OVER,49,44,2,61,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9183673469387755,45,2.0,RuleBased,7.0,8.0,9.0,OSLA,RuleBased,10,16,OSLA,0
205897768,Azul,5,GAME_OVER,58,53,2,62,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,58,0.9137931034482759,53,44.0,RuleBased,11.0,33.0,55.0,OSLA,RuleBased,12,18,OSLA,0
1325939940,Azul,5,GAME_OVER,51,46,2,63,RuleBased,0,2,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9411764705882353,48,103.0,RuleBased,6.0,57.5,109.0,OSLA,RuleBased,11,21,OSLA,0
-248792245,Azul,5,GAME_OVER,48,43,2,64,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,48,0.9583333333333334,46,15.0,RuleBased,8.0,15.5,23.0,OSLA,RuleBased,10,16,OSLA,0
1190043011,Azul,5,GAME_OVER,54,49,2,65,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,54,0.9444444444444444,51,21.0,RuleBased,27.0,37.5,48.0,OSLA,RuleBased,12,17,OSLA,0
-1255373459,Azul,5,GAME_OVER,51,46,2,66,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,1.0,51,22.0,RuleBased,0.0,11.0,22.0,OSLA,RuleBased,8,18,OSLA,0
-1436456258,Azul,5,GAME_OVER,50,45,2,67,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.96,48,53.0,RuleBased,11.0,37.5,64.0,OSLA,RuleBased,11,19,OSLA,0
392236186,Azul,5,GAME_OVER,52,47,2,68,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9230769230769231,48,34.0,RuleBased,7.0,24.0,41.0,OSLA,RuleBased,9,17,OSLA,0
-415012931,Azul,5,GAME_OVER,52,47,2,69,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9807692307692307,51,67.0,RuleBased,6.0,39.5,73.0,OSLA,RuleBased,10,19,OSLA,0
1938135004,Azul,5,GAME_OVER,52,47,2,70,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9230769230769231,48,20.0,RuleBased,0.0,10.0,20.0,OSLA,RuleBased,8,17,OSLA,0
1583910553,Azul,5,GAME_OVER,51,46,2,71,RuleBased,0,1,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9607843137254902,49,65.0,RuleBased,14.0,46.5,79.0,OSLA,RuleBased,9,20,OSLA,0
1639144584,Azul,6,GAME_OVER,50,45,2,72,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.92,46,14.0,RuleBased,10.0,17.0,24.0,OSLA,RuleBased,10,17,OSLA,0
1184328952,Azul,5,GAME_OVER,52,47,2,73,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9230769230769231,48,14.0,RuleBased,9.0,16.0,23.0,OSLA,RuleBased,10,17,OSLA,0
-1329611232,Azul,5,GAME_OVER,50,45,2,74,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,50,0.96,48,45.0,RuleBased,7.0,29.5,52.0,OSLA,RuleBased,13,17,OSLA,0
1991376913,Azul,5,GAME_OVER,53,48,2,75,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,53,0.9245283018867925,49,45.0,RuleBased,19.0,41.5,64.0,OSLA,RuleBased,13,18,OSLA,0
-1021814956,Azul,5,GAME_OVER,49,44,2,76,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,49,0.9183673469387755,45,49.0,RuleBased,4.0,28.5,53.0,OSLA,RuleBased,9,18,OSLA,0
-932429809,Azul,5,GAME_OVER,52,47,2,77,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,52,0.9230769230769231,48,12.0,RuleBased,10.0,16.0,22.0,OSLA,RuleBased,12,16,OSLA,0
-7822877,Azul,5,GAME_OVER,51,46,2,78,RuleBased,0,0,OSLA,2,RuleBased,2,1,1,OSLA,51,0.9607843137254902,49,46.0,RuleBased,6.0,29.0,52.0,OSLA,RuleBased,10,18,OSLA,0
-346484495,Azul,5,GAME_OVER,54,49,2,79,RuleBased,0,0,OSLA,1,RuleBased,1,2,2,OSLA,54,0.9629629629629629,52,1.0,RuleBased,27.0,26.5,26.0,OSLA,RuleBased,15,16,OSLA,1
