Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
Player 1 takes BLUE tiles from centre pool to floor line,50.0,184.0,3.6799999999999997,0.0,7.0,7.0,2.7526530612244895,1.659112130395197
Player 0 takes BLUE tiles from centre pool to floor line,50.0,178.0,3.5600000000000005,1.0,6.0,5.0,1.6799999999999995,1.296148139681572
Player 0 takes WHITE tiles from centre pool to pattern line 4,50.0,46.0,0.9199999999999999,0.0,3.0,3.0,1.0546938775510206,1.0269829003206532
Player 0 takes BLUE tiles from centre pool to pattern line 3,50.0,41.0,0.8199999999999997,0.0,2.0,2.0,0.35469387755102033,0.5955618167335951
Player 0 takes RED tiles from centre pool to floor line,50.0,39.0,0.78,0.0,4.0,4.0,0.9914285714285715,0.9957050624700928
Player 0 takes WHITE tiles from centre pool to pattern line 3,50.0,39.0,0.78,0.0,3.0,3.0,0.4608163265306123,0.6788345354580985
Player 0 takes BLACK tiles from centre pool to pattern line 4,50.0,38.0,0.76,0.0,3.0,3.0,0.7167346938775511,0.8466018508588031
Player 0 takes BLUE tiles from centre pool to pattern line 2,50.0,35.0,0.6999999999999998,0.0,2.0,2.0,0.2959183673469387,0.5439837932759934
Player 0 takes BLACK tiles from centre pool to pattern line 3,50.0,34.0,0.6799999999999999,0.0,2.0,2.0,0.3853061224489795,0.6207303137828694
Player 0 takes YELLOW tiles from centre pool to pattern line 2,50.0,34.0,0.6799999999999999,0.0,2.0,2.0,0.3036734693877551,0.551065757771026
Player 0 takes RED tiles from centre pool to pattern line 3,50.0,33.0,0.6599999999999999,0.0,2.0,2.0,0.4330612244897959,0.6580738746446297
Player 0 takes RED tiles from centre pool to pattern line 4,50.0,33.0,0.6599999999999998,0.0,3.0,3.0,0.6779591836734694,0.823382768627975
Player 0 takes YELLOW tiles from centre pool to pattern line 3,50.0,32.0,0.64,0.0,2.0,2.0,0.35755102040816317,0.5979557010416099
Player 0 takes BLACK tiles from centre pool to floor line,50.0,32.0,0.6399999999999999,0.0,2.0,2.0,0.5208163265306124,0.7216760537322908
Player 0 takes YELLOW tiles from centre pool to pattern line 4,50.0,32.0,0.6399999999999997,0.0,3.0,3.0,0.9697959183673467,0.9847821679779476
Player 0 takes WHITE tiles from centre pool to pattern line 2,50.0,30.0,0.6,0.0,2.0,2.0,0.2857142857142857,0.5345224838248488
Player 1 takes RED tiles from centre pool to floor line,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.5751020408163265,0.7583548251421142
Player 0 takes BLUE tiles from centre pool to pattern line 4,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.8608163265306122,0.9278018789216868
Player 0 takes WHITE tiles from centre pool to floor line,50.0,28.0,0.5599999999999999,0.0,3.0,3.0,0.5779591836734692,0.7602362683228611
Player 0 takes RED tiles from centre pool to pattern line 2,50.0,27.0,0.5399999999999999,0.0,2.0,2.0,0.3351020408163265,0.5788799882672803
Player 1 takes YELLOW tiles from centre pool to pattern line 4,50.0,26.0,0.5199999999999999,0.0,3.0,3.0,0.5404081632653062,0.7351245903010633
Player 1 takes BLACK tiles from centre pool to pattern line 3,50.0,25.0,0.5000000000000001,0.0,3.0,3.0,0.45918367346938777,0.6776309271789385
Player 1 takes BLACK tiles from centre pool to pattern line 2,50.0,25.0,0.4999999999999999,0.0,3.0,3.0,0.5816326530612245,0.762648446573665
Player 1 takes BLUE tiles from centre pool to pattern line 2,50.0,24.0,0.4800000000000001,0.0,2.0,2.0,0.4179591836734694,0.6464976285134149
Player 0 takes YELLOW tiles from centre pool to floor line,50.0,24.0,0.4800000000000001,0.0,3.0,3.0,0.4995918367346938,0.7068181072487417
Player 1 takes RED tiles from centre pool to pattern line 2,50.0,24.0,0.4800000000000001,0.0,2.0,2.0,0.4587755102040817,0.677329690921697
Player 1 takes BLUE tiles from centre pool to pattern line 3,50.0,24.0,0.48,0.0,3.0,3.0,0.6220408163265304,0.7886956423909862
Player 1 takes WHITE tiles from centre pool to floor line,50.0,24.0,0.48,0.0,2.0,2.0,0.3363265306122448,0.5799366608624125
Player 0 takes BLACK tiles from centre pool to pattern line 2,50.0,24.0,0.48,0.0,2.0,2.0,0.3363265306122448,0.5799366608624125
Player 1 takes YELLOW tiles from centre pool to pattern line 3,50.0,23.0,0.45999999999999996,0.0,2.0,2.0,0.4575510204081632,0.676425177242955
