Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@291421e,50.0,184.0,3.6799999999999997,0.0,7.0,7.0,2.7526530612244895,1.659112130395197
games.azul.actions.TakeTilesAction@290cdbf,50.0,178.0,3.5600000000000005,1.0,6.0,5.0,1.6799999999999995,1.296148139681572
games.azul.actions.TakeTilesAction@77fe4fed,50.0,46.0,0.9199999999999999,0.0,3.0,3.0,1.0546938775510206,1.0269829003206532
games.azul.actions.TakeTilesAction@290ce3b,50.0,41.0,0.8199999999999997,0.0,2.0,2.0,0.35469387755102033,0.5955618167335951
games.azul.actions.TakeTilesAction@77fe4fce,50.0,39.0,0.78,0.0,3.0,3.0,0.4608163265306123,0.6788345354580985
games.azul.actions.TakeTilesAction@21ae7ce7,50.0,39.0,0.78,0.0,4.0,4.0,0.9914285714285715,0.9957050624700928
games.azul.actions.TakeTilesAction@327bfb64,50.0,38.0,0.76,0.0,3.0,3.0,0.7167346938775511,0.8466018508588031
games.azul.actions.TakeTilesAction@290ce1c,50.0,35.0,0.6999999999999998,0.0,2.0,2.0,0.2959183673469387,0.5439837932759934
games.azul.actions.TakeTilesAction@1498101,50.0,34.0,0.6799999999999999,0.0,2.0,2.0,0.3036734693877551,0.551065757771026
games.azul.actions.TakeTilesAction@327bfb45,50.0,34.0,0.6799999999999999,0.0,2.0,2.0,0.3853061224489795,0.6207303137828694
games.azul.actions.TakeTilesAction@21ae7d63,50.0,33.0,0.6599999999999999,0.0,2.0,2.0,0.4330612244897959,0.6580738746446297
games.azul.actions.TakeTilesAction@21ae7d82,50.0,33.0,0.6599999999999998,0.0,3.0,3.0,0.6779591836734694,0.823382768627975
games.azul.actions.TakeTilesAction@1498120,50.0,32.0,0.64,0.0,2.0,2.0,0.35755102040816317,0.5979557010416099
games.azul.actions.TakeTilesAction@327bfac9,50.0,32.0,0.6399999999999999,0.0,2.0,2.0,0.5208163265306124,0.7216760537322908
games.azul.actions.TakeTilesAction@149813f,50.0,32.0,0.6399999999999997,0.0,3.0,3.0,0.9697959183673467,0.9847821679779476
games.azul.actions.TakeTilesAction@77fe4faf,50.0,30.0,0.6,0.0,2.0,2.0,0.2857142857142857,0.5345224838248488
games.azul.actions.TakeTilesAction@290ce5a,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.8608163265306122,0.9278018789216868
games.azul.actions.TakeTilesAction@21aef146,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.5751020408163265,0.7583548251421142
games.azul.actions.TakeTilesAction@77fe4f52,50.0,28.0,0.5599999999999999,0.0,3.0,3.0,0.5779591836734692,0.7602362683228611
games.azul.actions.TakeTilesAction@21ae7d44,50.0,27.0,0.5399999999999999,0.0,2.0,2.0,0.3351020408163265,0.5788799882672803
games.azul.actions.TakeTilesAction@149f59e,50.0,26.0,0.5199999999999999,0.0,3.0,3.0,0.5404081632653062,0.7351245903010633
games.azul.actions.TakeTilesAction@327c6fa4,50.0,25.0,0.5000000000000001,0.0,3.0,3.0,0.45918367346938777,0.6776309271789385
games.azul.actions.TakeTilesAction@327c6f85,50.0,25.0,0.4999999999999999,0.0,3.0,3.0,0.5816326530612245,0.762648446573665
games.azul.actions.TakeTilesAction@21aef1a3,50.0,24.0,0.4800000000000001,0.0,2.0,2.0,0.4587755102040817,0.677329690921697
games.azul.actions.TakeTilesAction@291427b,50.0,24.0,0.4800000000000001,0.0,2.0,2.0,0.4179591836734694,0.6464976285134149
games.azul.actions.TakeTilesAction@14980a4,50.0,24.0,0.4800000000000001,0.0,3.0,3.0,0.4995918367346938,0.7068181072487417
games.azul.actions.TakeTilesAction@77fec3b1,50.0,24.0,0.48,0.0,2.0,2.0,0.3363265306122448,0.5799366608624125
games.azul.actions.TakeTilesAction@327bfb26,50.0,24.0,0.48,0.0,2.0,2.0,0.3363265306122448,0.5799366608624125
games.azul.actions.TakeTilesAction@291429a,50.0,24.0,0.48,0.0,3.0,3.0,0.6220408163265304,0.7886956423909862
games.azul.actions.TakeTilesAction@149f57f,50.0,23.0,0.45999999999999996,0.0,2.0,2.0,0.4575510204081632,0.676425177242955
games.azul.actions.TakeTilesAction@21aef1e1,50.0,23.0,0.4599999999999999,0.0,3.0,3.0,0.7840816326530613,0.885483840989242
games.azul.actions.TakeTilesAction@149f503,50.0,21.0,0.42,0.0,2.0,2.0,0.33020408163265313,0.5746338674605362
games.azul.actions.TakeTilesAction@21aef1c2,50.0,20.0,0.39999999999999997,0.0,2.0,2.0,0.4897959183673469,0.6998542122237652
games.azul.actions.TakeTilesAction@77fec44c,50.0,20.0,0.3999999999999999,0.0,2.0,2.0,0.4897959183673468,0.6998542122237651
games.azul.actions.TakeTilesAction@327c6f28,50.0,19.0,0.37999999999999995,0.0,2.0,2.0,0.2812244897959184,0.5303060340934453
games.azul.actions.TakeTilesAction@291425c,50.0,18.0,0.36000000000000004,0.0,2.0,2.0,0.27591836734693875,0.5252793231671495
games.azul.actions.TakeTilesAction@327c6fc3,50.0,17.0,0.3400000000000001,0.0,3.0,3.0,0.4738775510204083,0.6883876458946719
games.azul.actions.TakeTilesAction@21aef184,50.0,17.0,0.33999999999999997,0.0,2.0,2.0,0.3106122448979592,0.5573259772323188
games.azul.actions.TakeTilesAction@29142b9,50.0,17.0,0.33999999999999997,0.0,2.0,2.0,0.43306122448979606,0.6580738746446299
games.azul.actions.TakeTilesAction@14980c3,50.0,16.0,0.32000000000000006,0.0,1.0,1.0,0.2220408163265307,0.4712120714991613
games.azul.actions.TakeTilesAction@327bfae8,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653055,0.47121207149916117
games.azul.actions.TakeTilesAction@149f541,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653058,0.47121207149916117
games.azul.actions.TakeTilesAction@77fec40e,50.0,16.0,0.32,0.0,2.0,2.0,0.26285714285714284,0.5126959555693246
games.azul.actions.TakeTilesAction@77fe4f71,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653055,0.47121207149916117
games.azul.actions.TakeTilesAction@149f560,50.0,16.0,0.31999999999999995,0.0,2.0,2.0,0.2628571428571429,0.5126959555693247
games.azul.actions.TakeTilesAction@77fec3d0,50.0,15.0,0.30000000000000004,0.0,1.0,1.0,0.21428571428571422,0.46291004988627565
games.azul.actions.TakeTilesAction@149f522,50.0,15.0,0.3,0.0,1.0,1.0,0.21428571428571427,0.4629100498862757
games.azul.actions.TakeTilesAction@327c6f47,50.0,15.0,0.3,0.0,1.0,1.0,0.21428571428571427,0.4629100498862757
games.azul.actions.TakeTilesAction@77fec42d,50.0,15.0,0.3,0.0,3.0,3.0,0.4183673469387756,0.6468132241526727
games.azul.actions.TakeTilesAction@290cdde,50.0,14.0,0.28,0.0,1.0,1.0,0.2057142857142857,0.4535573676110727
games.azul.actions.TakeTilesAction@77fe4f90,50.0,14.0,0.27999999999999986,0.0,1.0,1.0,0.2057142857142857,0.4535573676110727
games.azul.actions.TakeTilesAction@77fe56f3,50.0,13.0,0.2600000000000001,0.0,1.0,1.0,0.1963265306122449,0.44308749769345207
games.azul.actions.TakeTilesAction@327c6f66,50.0,13.0,0.2600000000000001,0.0,2.0,2.0,0.2779591836734695,0.527218345349884
games.azul.actions.TakeTilesAction@327bfb07,50.0,13.0,0.26000000000000006,0.0,1.0,1.0,0.1963265306122449,0.44308749769345207
