GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size),Actions(Random),Actions(Size-Random),Actions(Player-1),Actions(RuleBased),Actions(Actions Played Description),Actions(Player-0),Actions(Size-RuleBased),Actions(Action Space Size),Actions(Actions Played),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1)
-1170105035,Azul,0,ACTION_CHOSEN,0,0,2,6,117,,,,games.azul.actions.TakeTilesAction@21ae80e6,Player 0 takes RED tiles from factory 0 to pattern line 1,games.azul.actions.TakeTilesAction@21ae80e6,108,108,games.azul.actions.TakeTilesAction@21ae80e6,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,1,0,2,6,115,games.azul.actions.TakeTilesAction@77fed2b5,102,games.azul.actions.TakeTilesAction@77fed2b5,,Player 1 takes WHITE tiles from factory 3 to floor line,,,102,games.azul.actions.TakeTilesAction@77fed2b5,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,2,0,2,6,115,,,,games.azul.actions.TakeTilesAction@327c026a,Player 0 takes BLACK tiles from factory 1 to pattern line 0,games.azul.actions.TakeTilesAction@327c026a,70,70,games.azul.actions.TakeTilesAction@327c026a,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,3,0,2,6,114,games.azul.actions.TakeTilesAction@77fecf8f,72,games.azul.actions.TakeTilesAction@77fecf8f,,Player 1 takes WHITE tiles from factory 2 to pattern line 4,,,72,games.azul.actions.TakeTilesAction@77fecf8f,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,4,0,2,6,113,,,,games.azul.actions.TakeTilesAction@1498120,Player 0 takes YELLOW tiles from centre pool to pattern line 3,games.azul.actions.TakeTilesAction@1498120,32,32,games.azul.actions.TakeTilesAction@1498120,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,5,0,2,6,108,games.azul.actions.TakeTilesAction@21aef146,35,games.azul.actions.TakeTilesAction@21aef146,,Player 1 takes RED tiles from centre pool to floor line,,,35,games.azul.actions.TakeTilesAction@21aef146,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,6,0,2,6,108,,,,games.azul.actions.TakeTilesAction@327bfb26,Player 0 takes BLACK tiles from centre pool to pattern line 2,games.azul.actions.TakeTilesAction@327bfb26,18,18,games.azul.actions.TakeTilesAction@327bfb26,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,7,0,2,6,105,games.azul.actions.TakeTilesAction@21af040b,25,games.azul.actions.TakeTilesAction@21af040b,,Player 1 takes RED tiles from factory 4 to floor line,,,25,games.azul.actions.TakeTilesAction@21af040b,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,8,0,2,6,105,,,,games.azul.actions.TakeTilesAction@290ce5a,Player 0 takes BLUE tiles from centre pool to pattern line 4,games.azul.actions.TakeTilesAction@290ce5a,6,6,games.azul.actions.TakeTilesAction@290ce5a,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,9,0,2,6,101,games.azul.actions.TakeTilesAction@327c6f85,10,games.azul.actions.TakeTilesAction@327c6f85,,Player 1 takes BLACK tiles from centre pool to pattern line 2,,,10,games.azul.actions.TakeTilesAction@327c6f85,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,10,0,2,6,100,,,,games.azul.actions.TakeTilesAction@14980a4,Player 0 takes YELLOW tiles from centre pool to floor line,games.azul.actions.TakeTilesAction@14980a4,1,1,games.azul.actions.TakeTilesAction@14980a4,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,11,0,2,6,100,,,,games.azul.actions.TakeTilesAction@290cdbf,Player 0 takes BLUE tiles from centre pool to floor line,games.azul.actions.TakeTilesAction@290cdbf,1,1,games.azul.actions.TakeTilesAction@290cdbf,0.0,RuleBased,0.0,0.0,0.0,Random,RuleBased,0,0,Random
-1170105035,Azul,0,ACTION_CHOSEN,12,0,2,6,111,,,,games.azul.actions.TakeTilesAction@290dd5e,Player 0 takes BLUE tiles from factory 3 to pattern line 4,games.azul.actions.TakeTilesAction@290dd5e,69,69,games.azul.actions.TakeTilesAction@290dd5e,3.0,RuleBased,0.0,1.5,3.0,Random,RuleBased,0,4,Random
-1170105035,Azul,0,ACTION_CHOSEN,13,0,2,6,110,games.azul.actions.TakeTilesAction@21aef526,61,games.azul.actions.TakeTilesAction@21aef526,,Player 1 takes RED tiles from factory 0 to pattern line 0,,,61,games.azul.actions.TakeTilesAction@21aef526,3.0,RuleBased,0.0,1.5,3.0,Random,RuleBased,0,4,Random
-1170105035,Azul,0,ACTION_CHOSEN,14,0,2,6,109,,,,games.azul.actions.TakeTilesAction@327c064a,Player 0 takes BLACK tiles from factory 2 to pattern line 1,games.azul.actions.TakeTilesAction@327c064a,56,56,games.azul.actions.TakeTilesAction@327c064a,3.0,RuleBased,0.0,1.5,3.0,Random,RuleBased,0,4,Random
-1170105035,Azul,0,ACTION_CHOSEN,15,0,2,6,107,games.azul.actions.TakeTilesAction@21af0487,36,games.azul.actions.TakeTilesAction@21af0487,,Player 1 takes RED tiles from factory 4 to pattern line 3,,,36,games.azul.actions.TakeTilesAction@21af0487,3.0,RuleBased,0.0,1.5,3.0,Random,RuleBased,0,4,Random
-1170105035,Azul,0,ACTION_CHOSEN,16,0,2,6,106,,,,games.azul.actions.TakeTilesAction@21ae7d06,Player 0 takes RED tiles from centre pool to pattern line 0,games.azul.actions.TakeTilesAction@21ae7d06,28,28,games.azul.actions.TakeTilesAction@21ae7d06,3.0,RuleBased,0.0,1.5,3.0,Random,RuleBased,0,4,Random
