GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),FloorPenalties(PlayerName-0),FloorPenalties(Player-1),FloorPenalties(Player-0),FloorPenalties(PlayerName-1),Winner(PlayerIdx)
-1170105035,Azul,5,GAME_OVER,53,48,2,6,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9245283018867925,49,36.0,RuleBased,0.0,18.0,36.0,Random,RuleBased,6,17,Random,0
234785527,Azul,5,GAME_OVER,49,44,2,7,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,49,0.9591836734693877,47,31.0,RuleBased,0.0,15.5,31.0,Random,RuleBased,7,16,Random,0
-1360544799,Azul,5,GAME_OVER,49,44,2,8,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,49,0.9387755102040817,46,24.0,RuleBased,0.0,12.0,24.0,Random,RuleBased,7,16,Random,0
205897768,Azul,5,GAME_OVER,53,48,2,9,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9245283018867925,49,51.0,RuleBased,0.0,25.5,51.0,Random,RuleBased,7,16,Random,0
1325939940,Azul,5,GAME_OVER,56,51,2,10,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,56,0.9821428571428571,55,44.0,RuleBased,4.0,26.0,48.0,Random,RuleBased,10,16,Random,0
-248792245,Azul,5,GAME_OVER,53,48,2,11,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9433962264150944,50,30.0,RuleBased,2.0,17.0,32.0,Random,RuleBased,8,15,Random,0
1190043011,Azul,5,GAME_OVER,55,50,2,12,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,55,0.9454545454545454,52,73.0,RuleBased,0.0,36.5,73.0,Random,RuleBased,9,18,Random,0
-1255373459,Azul,5,GAME_OVER,52,47,2,13,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,52,0.9615384615384616,50,55.0,RuleBased,2.0,29.5,57.0,Random,RuleBased,10,18,Random,0
-1436456258,Azul,5,GAME_OVER,57,52,2,14,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,57,0.9298245614035088,53,27.0,RuleBased,0.0,13.5,27.0,Random,RuleBased,8,17,Random,0
392236186,Azul,5,GAME_OVER,49,44,2,15,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,49,0.9591836734693877,47,57.0,RuleBased,0.0,28.5,57.0,Random,RuleBased,8,17,Random,0
-415012931,Azul,5,GAME_OVER,53,48,2,16,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9433962264150944,50,46.0,RuleBased,0.0,23.0,46.0,Random,RuleBased,6,17,Random,0
1938135004,Azul,5,GAME_OVER,53,48,2,17,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,53,0.9622641509433962,51,51.0,RuleBased,0.0,25.5,51.0,Random,RuleBased,6,17,Random,0
1583910553,Azul,5,GAME_OVER,52,47,2,18,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,52,0.9615384615384616,50,58.0,RuleBased,0.0,29.0,58.0,Random,RuleBased,9,18,Random,0
1639144584,Azul,5,GAME_OVER,51,46,2,19,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,51,0.9607843137254902,49,67.0,RuleBased,0.0,33.5,67.0,Random,RuleBased,6,18,Random,0
1184328952,Azul,5,GAME_OVER,57,52,2,20,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,57,0.9649122807017544,55,45.0,RuleBased,0.0,22.5,45.0,Random,RuleBased,7,17,Random,0
-1329611232,Azul,5,GAME_OVER,50,45,2,21,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,50,0.94,47,55.0,RuleBased,0.0,27.5,55.0,Random,RuleBased,8,18,Random,0
1991376913,Azul,5,GAME_OVER,53,48,2,22,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9622641509433962,51,31.0,RuleBased,3.0,18.5,34.0,Random,RuleBased,7,16,Random,0
-1021814956,Azul,5,GAME_OVER,56,51,2,23,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,56,0.9464285714285714,53,41.0,RuleBased,7.0,27.5,48.0,Random,RuleBased,11,17,Random,0
-932429809,Azul,5,GAME_OVER,58,53,2,24,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,58,0.9827586206896551,57,71.0,RuleBased,0.0,35.5,71.0,Random,RuleBased,11,19,Random,0
-7822877,Azul,5,GAME_OVER,53,48,2,25,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9433962264150944,50,30.0,RuleBased,0.0,15.0,30.0,Random,RuleBased,9,16,Random,0
-346484495,Azul,5,GAME_OVER,56,51,2,26,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,56,0.9107142857142857,51,43.0,RuleBased,0.0,21.5,43.0,Random,RuleBased,8,17,Random,0
652655727,Azul,5,GAME_OVER,53,48,2,27,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9433962264150944,50,35.0,RuleBased,0.0,17.5,35.0,Random,RuleBased,9,16,Random,0
1874714453,Azul,6,GAME_OVER,59,54,2,28,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,59,0.9830508474576272,58,25.0,RuleBased,0.0,12.5,25.0,Random,RuleBased,10,16,Random,0
1888925827,Azul,5,GAME_OVER,53,48,2,29,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,53,0.9811320754716981,52,40.0,RuleBased,0.0,20.0,40.0,Random,RuleBased,8,17,Random,0
-1074144810,Azul,5,GAME_OVER,49,44,2,30,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,49,0.9591836734693877,47,42.0,RuleBased,2.0,23.0,44.0,Random,RuleBased,6,17,Random,0
-297936814,Azul,6,GAME_OVER,51,46,2,31,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,51,0.9803921568627451,50,50.0,RuleBased,0.0,25.0,50.0,Random,RuleBased,7,17,Random,0
1660292060,Azul,5,GAME_OVER,60,55,2,32,RuleBased,0,1,Random,2,RuleBased,2,1,1,Random,60,0.95,57,56.0,RuleBased,0.0,28.0,56.0,Random,RuleBased,6,17,Random,0
-866352379,Azul,5,GAME_OVER,54,49,2,33,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,54,0.9074074074074074,49,41.0,RuleBased,0.0,20.5,41.0,Random,RuleBased,8,18,Random,0
761834774,Azul,5,GAME_OVER,52,47,2,34,RuleBased,0,0,Random,2,RuleBased,2,1,1,Random,52,0.9615384615384616,50,53.0,RuleBased,0.0,26.5,53.0,Random,RuleBased,9,17,Random,0
