Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@291421e,50.0,205.0,4.1,0.0,8.0,8.0,2.744897959183673,1.6567733578204573
games.azul.actions.TakeTilesAction@149f503,50.0,75.0,1.5,0.0,4.0,4.0,1.4795918367346936,1.2163847404233143
games.azul.actions.TakeTilesAction@21aef146,50.0,69.0,1.38,0.0,4.0,4.0,1.0159183673469392,1.0079277589921507
games.azul.actions.TakeTilesAction@77fec3b1,50.0,54.0,1.0800000000000003,0.0,4.0,4.0,1.0546938775510202,1.026982900320653
games.azul.actions.TakeTilesAction@327c6f28,50.0,40.0,0.7999999999999999,0.0,3.0,3.0,0.5714285714285714,0.7559289460184544
games.azul.actions.TakeTilesAction@327c6f85,50.0,27.0,0.5399999999999999,0.0,3.0,3.0,0.5391836734693879,0.7342912729083656
games.azul.actions.TakeTilesAction@149f541,50.0,22.0,0.44,0.0,2.0,2.0,0.3330612244897959,0.5771145679064045
games.azul.actions.TakeTilesAction@149f57f,50.0,20.0,0.4,0.0,2.0,2.0,0.4897959183673468,0.6998542122237651
games.azul.actions.TakeTilesAction@77fec3ef,50.0,20.0,0.39999999999999997,0.0,2.0,2.0,0.32653061224489793,0.5714285714285714
games.azul.actions.TakeTilesAction@29142b9,50.0,20.0,0.3999999999999999,0.0,4.0,4.0,0.6122448979591837,0.7824607964359516
games.azul.actions.TakeTilesAction@149f522,50.0,20.0,0.3999999999999999,0.0,1.0,1.0,0.24489795918367352,0.49487165930539356
games.azul.actions.TakeTilesAction@291423d,50.0,19.0,0.38,0.0,1.0,1.0,0.24040816326530617,0.4903143514780147
games.azul.actions.TakeTilesAction@77fec40e,50.0,18.0,0.36000000000000004,0.0,2.0,2.0,0.39836734693877573,0.6311634866964151
games.azul.actions.TakeTilesAction@327c6fc3,50.0,18.0,0.36,0.0,3.0,3.0,0.6840816326530611,0.8270922757788645
games.azul.actions.TakeTilesAction@77fec3d0,50.0,17.0,0.33999999999999986,0.0,1.0,1.0,0.22897959183673464,0.4785181206984064
games.azul.actions.TakeTilesAction@29149a0,50.0,16.0,0.32000000000000006,0.0,1.0,1.0,0.22204081632653058,0.47121207149916117
games.azul.actions.TakeTilesAction@21aef1a3,50.0,16.0,0.32,0.0,2.0,2.0,0.3444897959183673,0.5869325309764039
games.azul.actions.TakeTilesAction@327c6f47,50.0,16.0,0.32,0.0,1.0,1.0,0.22204081632653047,0.47121207149916106
games.azul.actions.TakeTilesAction@291427b,50.0,16.0,0.31999999999999995,0.0,2.0,2.0,0.34448979591836726,0.5869325309764039
games.azul.actions.TakeTilesAction@291425c,50.0,16.0,0.3199999999999998,0.0,1.0,1.0,0.22204081632653058,0.47121207149916117
games.azul.actions.TakeTilesAction@21aef184,50.0,15.0,0.3000000000000001,0.0,2.0,2.0,0.3775510204081632,0.6144518047887589
games.azul.actions.TakeTilesAction@21aef165,50.0,15.0,0.30000000000000004,0.0,1.0,1.0,0.21428571428571422,0.46291004988627565
games.azul.actions.TakeTilesAction@149fc85,50.0,15.0,0.3,0.0,2.0,2.0,0.2551020408163266,0.5050762722761054
games.azul.actions.TakeTilesAction@327c7e2c,50.0,14.0,0.2800000000000001,0.0,1.0,1.0,0.20571428571428568,0.4535573676110726
games.azul.actions.TakeTilesAction@149f560,50.0,14.0,0.27999999999999997,0.0,2.0,2.0,0.2873469387755102,0.5360475154083919
games.azul.actions.TakeTilesAction@21aef1c2,50.0,13.0,0.2600000000000001,0.0,2.0,2.0,0.3187755102040817,0.5646020812962715
games.azul.actions.TakeTilesAction@291429a,50.0,13.0,0.26,0.0,2.0,2.0,0.3187755102040816,0.5646020812962715
games.azul.actions.TakeTilesAction@21af040b,50.0,13.0,0.25999999999999995,0.0,2.0,2.0,0.23714285714285713,0.48697315854455175
games.azul.actions.TakeTilesAction@327c81ed,50.0,13.0,0.25999999999999995,0.0,2.0,2.0,0.31877551020408174,0.5646020812962717
games.azul.actions.TakeTilesAction@21aef1e1,50.0,13.0,0.2599999999999999,0.0,2.0,2.0,0.4004081632653059,0.6327781311528599
