Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@290cdbf,50.0,194.0,3.880000000000001,1.0,7.0,6.0,2.3526530612244896,1.5338360607393768
games.azul.actions.TakeTilesAction@327bfac9,50.0,47.0,0.9399999999999997,0.0,4.0,4.0,0.9963265306122446,0.998161575403624
games.azul.actions.TakeTilesAction@21ae7d82,50.0,42.0,0.84,0.0,3.0,3.0,0.9942857142857144,0.99713876380658
games.azul.actions.TakeTilesAction@327bfb45,50.0,36.0,0.7200000000000002,0.0,2.0,2.0,0.5322448979591838,0.7295511619887832
games.azul.actions.TakeTilesAction@327bfb64,50.0,36.0,0.7200000000000001,0.0,3.0,3.0,0.6955102040816328,0.83397254396151
games.azul.actions.TakeTilesAction@21ae7ce7,50.0,36.0,0.72,0.0,3.0,3.0,0.8587755102040817,0.9267014137272489
games.azul.actions.TakeTilesAction@77fe4f52,50.0,35.0,0.7000000000000001,0.0,3.0,3.0,0.6224489795918368,0.7889543583705186
games.azul.actions.TakeTilesAction@77fe4fce,50.0,34.0,0.6799999999999999,0.0,3.0,3.0,0.4669387755102041,0.6833291853200799
games.azul.actions.TakeTilesAction@290ce3b,50.0,34.0,0.6799999999999999,0.0,2.0,2.0,0.4261224489795919,0.6527805519311922
games.azul.actions.TakeTilesAction@290ce1c,50.0,31.0,0.6199999999999998,0.0,2.0,2.0,0.3628571428571428,0.6023762469230861
games.azul.actions.TakeTilesAction@1498101,50.0,31.0,0.6199999999999998,0.0,2.0,2.0,0.32204081632653053,0.5674864018868915
games.azul.actions.TakeTilesAction@77fe4fed,50.0,30.0,0.6000000000000001,0.0,3.0,3.0,0.693877551020408,0.8329931278350429
games.azul.actions.TakeTilesAction@14980a4,50.0,30.0,0.5999999999999999,0.0,3.0,3.0,0.4489795918367345,0.6700593942604898
games.azul.actions.TakeTilesAction@21ae7d63,50.0,29.0,0.5800000000000001,0.0,3.0,3.0,0.5342857142857143,0.7309485031694875
games.azul.actions.TakeTilesAction@1498120,50.0,28.0,0.5599999999999999,0.0,2.0,2.0,0.4963265306122449,0.7045044574821687
games.azul.actions.TakeTilesAction@327bfb26,50.0,28.0,0.5599999999999998,0.0,2.0,2.0,0.41469387755102044,0.6439672954048369
games.azul.actions.TakeTilesAction@21ae7d44,50.0,27.0,0.5399999999999999,0.0,2.0,2.0,0.3351020408163265,0.5788799882672803
games.azul.actions.TakeTilesAction@77fe4faf,50.0,26.0,0.5199999999999999,0.0,2.0,2.0,0.336326530612245,0.5799366608624126
games.azul.actions.TakeTilesAction@149813f,50.0,26.0,0.5199999999999999,0.0,3.0,3.0,0.7036734693877553,0.8388524717658972
games.azul.actions.TakeTilesAction@290ce5a,50.0,20.0,0.4,0.0,2.0,2.0,0.48979591836734687,0.6998542122237651
games.azul.actions.TakeTilesAction@14980c3,50.0,18.0,0.35999999999999993,0.0,1.0,1.0,0.23510204081632655,0.48487322138506117
games.azul.actions.TakeTilesAction@290cdfd,50.0,16.0,0.32000000000000006,0.0,1.0,1.0,0.22204081632653053,0.4712120714991611
games.azul.actions.TakeTilesAction@77fe5332,50.0,16.0,0.31999999999999995,0.0,1.0,1.0,0.22204081632653064,0.4712120714991612
games.azul.actions.TakeTilesAction@290cdde,50.0,15.0,0.30000000000000004,0.0,1.0,1.0,0.21428571428571425,0.4629100498862757
games.azul.actions.TakeTilesAction@14980e2,50.0,15.0,0.3,0.0,1.0,1.0,0.21428571428571433,0.46291004988627577
games.azul.actions.TakeTilesAction@327bfae8,50.0,14.0,0.2800000000000001,0.0,1.0,1.0,0.20571428571428568,0.4535573676110726
games.azul.actions.TakeTilesAction@21ae7d25,50.0,14.0,0.2800000000000001,0.0,1.0,1.0,0.20571428571428574,0.4535573676110727
games.azul.actions.TakeTilesAction@21ae7d06,50.0,14.0,0.2800000000000001,0.0,1.0,1.0,0.2057142857142858,0.45355736761107274
games.azul.actions.TakeTilesAction@77fe4f71,50.0,13.0,0.26000000000000006,0.0,1.0,1.0,0.19632653061224492,0.4430874976934521
games.azul.actions.TakeTilesAction@1499388,50.0,12.0,0.24000000000000002,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
games.azul.actions.TakeTilesAction@327bfb07,50.0,12.0,0.24000000000000002,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
games.azul.actions.TakeTilesAction@290d940,50.0,12.0,0.23999999999999996,0.0,1.0,1.0,0.18612244897959185,0.4314191105869
games.azul.actions.TakeTilesAction@77fe4f90,50.0,11.0,0.22000000000000006,0.0,1.0,1.0,0.1751020408163265,0.41845195759648024
games.azul.actions.TakeTilesAction@14993a7,50.0,11.0,0.22000000000000003,0.0,1.0,1.0,0.17510204081632658,0.41845195759648035
games.azul.actions.TakeTilesAction@21ae80e6,50.0,11.0,0.22,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
games.azul.actions.TakeTilesAction@327c09ec,50.0,11.0,0.22,0.0,1.0,1.0,0.17510204081632647,0.4184519575964802
games.azul.actions.TakeTilesAction@290dce2,50.0,11.0,0.21999999999999995,0.0,1.0,1.0,0.17510204081632647,0.4184519575964802
games.azul.actions.TakeTilesAction@290d19f,50.0,11.0,0.21999999999999986,0.0,1.0,1.0,0.17510204081632652,0.4184519575964803
games.azul.actions.TakeTilesAction@1498c25,50.0,10.0,0.20000000000000012,0.0,1.0,1.0,0.16326530612244897,0.40406101782088427
games.azul.actions.TakeTilesAction@21ae8868,50.0,10.0,0.20000000000000007,0.0,1.0,1.0,0.16326530612244902,0.4040610178208843
games.azul.actions.TakeTilesAction@77fe5731,50.0,10.0,0.20000000000000007,0.0,2.0,2.0,0.2040816326530612,0.4517539514526256
games.azul.actions.TakeTilesAction@327bfec8,50.0,10.0,0.20000000000000007,0.0,1.0,1.0,0.16326530612244902,0.4040610178208843
games.azul.actions.TakeTilesAction@290d97e,50.0,9.0,0.18000000000000005,0.0,2.0,2.0,0.19142857142857142,0.43752550946038726
games.azul.actions.TakeTilesAction@1498883,50.0,9.0,0.18000000000000002,0.0,1.0,1.0,0.15061224489795919,0.38808793449160356
games.azul.actions.TakeTilesAction@77fe5e94,50.0,9.0,0.18,0.0,1.0,1.0,0.1506122448979592,0.3880879344916036
games.azul.actions.TakeTilesAction@1498c06,50.0,8.0,0.16000000000000003,0.0,1.0,1.0,0.13714285714285718,0.37032803990902063
games.azul.actions.TakeTilesAction@14993c6,50.0,8.0,0.16000000000000003,0.0,1.0,1.0,0.13714285714285715,0.3703280399090206
