Measure,Count,sum,Mean,Min,Max,Range,Variance,Std. Dev
games.azul.actions.TakeTilesAction@6450c447,100.0,116.0,1.1600000000000001,0.0,3.0,3.0,0.1963636363636363,0.4431293675255978
games.azul.actions.TakeTilesAction@6106b833,100.0,48.0,0.48000000000000004,0.0,1.0,1.0,0.252121212121212,0.5021167315686782
games.azul.actions.TakeTilesAction@2adde07e,100.0,44.0,0.44000000000000006,0.0,1.0,1.0,0.24888888888888888,0.49888765156985887
games.azul.actions.TakeTilesAction@2821c8f4,100.0,41.0,0.4100000000000001,0.0,1.0,1.0,0.24434343434343442,0.4943110704237104
games.azul.actions.TakeTilesAction@36088081,100.0,41.0,0.4099999999999999,0.0,1.0,1.0,0.24434343434343428,0.4943110704237103
games.azul.actions.TakeTilesAction@61072c92,100.0,39.0,0.39000000000000007,0.0,2.0,2.0,0.2605050505050504,0.5103969538555755
games.azul.actions.TakeTilesAction@2ade54dd,100.0,39.0,0.39,0.0,1.0,1.0,0.24030303030303043,0.4902071300001974
games.azul.actions.TakeTilesAction@6451ada0,100.0,38.0,0.37999999999999995,0.0,2.0,2.0,0.2581818181818181,0.5081159495448043
games.azul.actions.TakeTilesAction@2add6c1f,100.0,38.0,0.37999999999999984,0.0,1.0,1.0,0.23797979797979807,0.4878317312145634
games.azul.actions.TakeTilesAction@2adec93c,100.0,37.0,0.37000000000000016,0.0,1.0,1.0,0.23545454545454547,0.48523658709390977
games.azul.actions.TakeTilesAction@2820e017,100.0,36.0,0.36000000000000004,0.0,1.0,1.0,0.23272727272727278,0.48241815132442184
games.azul.actions.TakeTilesAction@645221ff,100.0,36.0,0.35999999999999993,0.0,1.0,1.0,0.23272727272727273,0.4824181513244218
games.azul.actions.TakeTilesAction@2820e036,100.0,36.0,0.3599999999999999,0.0,1.0,1.0,0.2327272727272726,0.4824181513244217
games.azul.actions.TakeTilesAction@360880a0,100.0,36.0,0.3599999999999999,0.0,1.0,1.0,0.23272727272727267,0.48241815132442173
games.azul.actions.TakeTilesAction@28223d53,100.0,35.0,0.3500000000000002,0.0,1.0,1.0,0.2297979797979798,0.4793724854411023
games.azul.actions.TakeTilesAction@3608f4ff,100.0,35.0,0.35000000000000003,0.0,1.0,1.0,0.22979797979797975,0.4793724854411022
games.azul.actions.TakeTilesAction@64513922,100.0,35.0,0.35,0.0,2.0,2.0,0.24999999999999997,0.49999999999999994
games.azul.actions.TakeTilesAction@6450c4e2,100.0,35.0,0.34999999999999987,0.0,1.0,1.0,0.22979797979797967,0.4793724854411021
games.azul.actions.TakeTilesAction@36080c41,100.0,35.0,0.3499999999999998,0.0,2.0,2.0,0.25,0.5
games.azul.actions.TakeTilesAction@6106b814,100.0,34.0,0.34,0.0,1.0,1.0,0.2266666666666667,0.47609522856952335
games.azul.actions.TakeTilesAction@28223d34,100.0,34.0,0.33999999999999997,0.0,1.0,1.0,0.2266666666666667,0.47609522856952335
games.azul.actions.TakeTilesAction@28215495,100.0,33.0,0.3300000000000001,0.0,1.0,1.0,0.2233333333333333,0.4725815626252608
games.azul.actions.TakeTilesAction@6107a0f1,100.0,33.0,0.33000000000000007,0.0,1.0,1.0,0.22333333333333324,0.47258156262526074
games.azul.actions.TakeTilesAction@36088062,100.0,33.0,0.32999999999999996,0.0,1.0,1.0,0.22333333333333324,0.47258156262526074
games.azul.actions.TakeTilesAction@36080c22,100.0,33.0,0.3299999999999999,0.0,1.0,1.0,0.2233333333333333,0.4725815626252608
games.azul.actions.TakeTilesAction@2add6c00,100.0,31.0,0.3100000000000002,0.0,1.0,1.0,0.21606060606060604,0.4648231987117317
games.azul.actions.TakeTilesAction@61072c73,100.0,31.0,0.3100000000000001,0.0,1.0,1.0,0.21606060606060598,0.46482319871173167
games.azul.actions.TakeTilesAction@645221c1,100.0,31.0,0.31000000000000005,0.0,1.0,1.0,0.21606060606060604,0.4648231987117317
games.azul.actions.TakeTilesAction@2adec8fe,100.0,31.0,0.30999999999999994,0.0,1.0,1.0,0.21606060606060598,0.46482319871173167
games.azul.actions.TakeTilesAction@360797e2,100.0,31.0,0.3099999999999999,0.0,1.0,1.0,0.21606060606060595,0.4648231987117316
games.azul.actions.TakeTilesAction@610643b5,100.0,31.0,0.3099999999999999,0.0,1.0,1.0,0.21606060606060606,0.4648231987117318
games.azul.actions.TakeTilesAction@2adec91d,100.0,30.0,0.3000000000000001,0.0,1.0,1.0,0.21212121212121207,0.4605661864718382
games.azul.actions.TakeTilesAction@6450c4a4,100.0,30.0,0.29999999999999993,0.0,1.0,1.0,0.21212121212121213,0.4605661864718383
games.azul.actions.TakeTilesAction@36080ba6,100.0,29.0,0.2900000000000002,0.0,2.0,2.0,0.22818181818181815,0.47768380565162366
games.azul.actions.TakeTilesAction@360797c3,100.0,29.0,0.2900000000000002,0.0,1.0,1.0,0.20797979797979804,0.4560480215720687
games.azul.actions.TakeTilesAction@2ade54be,100.0,29.0,0.2900000000000002,0.0,1.0,1.0,0.207979797979798,0.45604802157206864
games.azul.actions.TakeTilesAction@2adde05f,100.0,29.0,0.29000000000000015,0.0,1.0,1.0,0.20797979797979804,0.4560480215720687
